(a, 1703576)
(b, 1086071)
(c, 611368)
(d, 1841427)
(e, 218129)
(f, 348431)
(g, 95665)
(h, 680210)
(i, 477264)
(j, 1565184)
(k, 1807740)
(l, 734577)
(m, 1686423)
(n, 2642728)
(o, 1192392)
(p, 4259371)
(q, 2221)
(r, 1007165)
(s, 3394763)
(t, 2011194)
(u, 624916)
(v, 2652766)
(w, 82227)
(x, 4258)
(y, 11569)
(z, 1880570)
(á, 475)
(é, 1352)
(í, 1836)
(ó, 436)
(ú, 288994)
(ý, 6)
(č, 604572)
(ď, 532)
(ě, 5)
(ı, 1)
(ň, 207)
(ř, 247970)
(š, 219820)
(ť, 844)
(ů, 3)
(ž, 386397)
